depth	min95%	max95%	best	accrate
0	-56	-24	-46	4.77
1	-53	-19	-42	4.77
2	-49	-13	-37	4.77
3	-45	-6	-32	4.76
4	-42	0	-27	4.76
5	-39	7	-23	4.76
6	-35	12	-18	4.75
7	-32	18	-13	4.74
8	-28	24	-8	4.74
9	-25	30	-4	4.73
10	-22	37	1	4.72
11	-19	43	6	4.71
12	-16	50	11	4.7
13	-13	58	15	4.69
14	-10	65	20	4.67
15	-7	71	25	4.66
16	-4	77	29	4.65
17	-1	84	34	4.63
18	2	92	39	4.62
19	4	99	43	4.6
20	7	106	48	4.58
21	10	113	52	4.56
22	13	119	57	4.54
23	16	126	62	4.52
24	19	132	66	4.5
25	21	139	71	4.48
26	24	145	75	4.45
27	27	152	79	4.43
28	30	157	84	4.4
29	32	163	88	4.38
30	35	170	93	4.35
31	38	176	97	4.32
32	41	182	101	4.29
33	44	188	106	4.27
34	46	194	110	4.24
35	49	200	114	4.21
36	52	206	118	4.18
37	55	211	123	4.16
38	58	217	127	4.13
39	61	222	131	4.1
40	63	227	135	4.08
41	66	233	139	4.05
42	69	238	143	4.02
43	72	243	147	4
44	75	248	151	3.97
45	77	253	155	3.95
46	80	258	159	3.92
47	83	263	163	3.89
48	86	267	167	3.87
49	89	272	171	3.84
50	91	276	175	3.82
51	94	281	178	3.79
52	97	285	182	3.77
53	99	289	186	3.74
54	102	293	190	3.72
55	105	297	193	3.7
56	108	301	197	3.67
57	111	305	201	3.65
58	113	309	204	3.62
59	116	313	208	3.6
60	119	317	212	3.58
61	122	320	215	3.55
62	125	324	219	3.53
63	127	328	222	3.51
64	130	331	226	3.48
65	133	334	229	3.46
66	136	338	233	3.44
67	139	342	236	3.42
68	142	345	240	3.39
69	145	349	243	3.37
70	147	352	246	3.35
71	150	355	250	3.33
72	153	359	253	3.31
73	156	362	256	3.29
74	158	365	260	3.26
75	161	368	263	3.24
76	164	371	266	3.22
77	166	374	269	3.2
78	169	377	273	3.18
79	172	380	276	3.16
80	175	383	279	3.14
81	177	386	282	3.12
82	180	388	285	3.1
83	183	390	288	3.08
84	186	393	291	3.06
85	189	396	294	3.04
86	192	398	297	3.02
87	194	401	300	3
88	197	403	303	2.98
89	200	406	306	2.97
90	203	408	309	2.95
91	205	411	312	2.93
92	208	413	315	2.91
93	211	415	318	2.89
94	214	417	321	2.87
95	216	420	324	2.86
96	219	422	327	2.84
97	222	424	330	2.82
98	224	426	332	2.8
99	227	428	335	2.79
100	230	431	338	2.77
101	233	433	341	2.75
102	235	435	344	2.73
103	238	437	346	2.72
104	241	439	349	2.7
105	244	442	352	2.69
106	246	444	354	2.67
107	249	446	357	2.65
108	252	448	360	2.64
109	255	450	362	2.62
110	257	452	365	2.61
111	260	454	368	2.59
112	263	456	370	2.58
113	265	458	373	2.56
114	268	460	375	2.55
115	270	462	378	2.53
116	272	464	380	2.52
117	275	466	383	2.5
118	277	467	385	2.49
119	280	469	388	2.47
120	282	471	390	2.46
121	285	473	393	2.45
122	287	475	395	2.43
123	289	476	398	2.42
124	292	478	400	2.41
125	294	480	403	2.39
126	296	481	405	2.38
127	298	483	407	2.37
128	301	484	410	2.35
129	303	486	412	2.34
130	305	488	414	2.33
131	308	489	417	2.32
132	310	490	419	2.31
133	312	492	421	2.29
134	314	494	424	2.28
135	316	497	426	2.27
136	318	499	428	2.26
137	321	501	430	2.25
138	324	503	433	2.24
139	325	505	435	2.23
140	328	508	437	2.23
141	329	510	439	2.22
142	332	512	442	2.21
143	333	514	444	2.21
144	335	517	446	2.21
145	337	519	448	2.2
146	339	521	450	2.2
147	341	524	453	2.2
148	343	526	455	2.2
149	345	529	457	2.2
150	347	532	459	2.2
151	349	535	461	2.21
152	351	538	464	2.21
153	353	540	466	2.21
154	355	543	468	2.22
155	357	545	470	2.22
156	359	548	473	2.23
157	362	551	475	2.24
158	364	553	477	2.25
159	366	556	479	2.26
160	367	558	482	2.27
161	369	560	484	2.28
162	371	563	486	2.29
163	372	566	488	2.3
164	375	569	491	2.32
165	377	572	493	2.33
