depth	min95%	max95%	best	accrate
0	-59	-40	-50	5.79
1	-54	-34	-44	5.79
2	-51	-25	-38	5.79
3	-47	-15	-33	5.79
4	-44	-6	-27	5.79
5	-41	4	-21	5.79
6	-38	13	-15	5.79
7	-35	22	-9	5.79
8	-33	32	-4	5.79
9	-30	42	2	5.79
10	-28	52	8	5.79
11	-25	61	14	5.79
12	-23	71	20	5.79
13	-20	81	25	5.79
14	-18	91	31	5.79
15	-15	101	37	5.79
16	-13	111	43	5.79
17	-10	121	49	5.79
18	-8	130	54	5.79
19	-5	140	60	5.79
20	-3	150	66	5.79
21	-1	160	72	5.79
22	1	170	77	5.79
23	4	180	83	5.79
24	6	190	89	5.79
25	8	200	95	5.79
26	11	210	101	5.79
27	13	220	106	5.79
28	16	230	112	5.79
29	18	240	118	5.79
30	21	250	124	5.79
31	23	260	130	3.02
32	27	262	133	3.02
33	30	263	136	3.02
34	34	266	139	3.02
35	38	267	142	3.02
36	43	270	145	3.02
37	47	272	148	3.02
38	50	273	151	3.02
39	55	276	154	3.02
40	58	278	157	3.02
41	62	280	160	3.02
42	66	282	163	3.02
43	69	284	166	3.02
44	73	286	169	3.02
45	76	288	172	3.02
46	79	290	175	3.02
47	83	292	178	3.02
48	86	294	181	3.02
49	90	297	184	3.02
50	93	299	187	3.02
51	97	301	190	3.02
52	100	304	193	3.02
53	103	306	196	3.02
54	106	308	199	3.02
55	109	311	202	3.02
56	112	313	205	3.02
57	115	316	208	3.02
58	118	318	211	3.02
59	121	321	214	3.02
60	124	323	217	3.02
61	127	326	220	3.02
62	130	328	223	3.02
63	132	331	226	3.02
64	135	333	229	3.02
65	138	336	232	3.02
66	141	338	235	3.02
67	144	340	238	3.02
68	147	342	241	3.02
69	150	344	244	3.02
70	153	346	247	3.02
71	156	348	250	3.02
72	159	351	253	3.02
73	162	354	256	3.02
74	165	357	259	3.02
75	168	359	262	3.02
76	170	361	265	3.02
77	173	364	268	3.02
78	176	366	271	3.02
79	179	369	274	3.02
80	182	371	277	3.02
81	184	373	280	3.02
82	187	376	283	3.02
83	190	378	286	3.02
84	193	380	289	3.02
85	196	383	292	3.02
86	199	385	295	3.02
87	202	387	298	3.02
88	205	390	301	3.02
89	208	392	304	3.02
90	211	395	307	3.02
91	214	397	310	3.02
92	217	399	313	3.02
93	220	402	317	3.02
