depth	min95%	max95%	best	accrate
0	-57	-32	-47	4.91
1	-53	-25	-42	4.9
2	-50	-19	-37	4.9
3	-47	-11	-32	4.9
4	-44	-4	-27	4.89
5	-40	2	-23	4.88
6	-37	10	-18	4.88
7	-34	18	-13	4.87
8	-31	26	-8	4.85
9	-28	34	-3	4.84
10	-26	42	2	4.83
11	-23	50	7	4.81
12	-20	58	11	4.79
13	-18	67	16	4.78
14	-15	74	21	4.76
15	-12	82	26	4.73
16	-10	90	30	4.71
17	-7	97	35	4.69
18	-5	105	40	4.66
19	-2	113	45	4.63
20	0	120	49	4.6
21	3	128	54	4.57
22	5	135	58	4.54
23	8	142	63	4.51
24	10	150	67	4.47
25	13	157	72	4.44
26	16	164	76	4.4
27	18	171	81	4.36
28	21	177	85	4.32
29	23	184	89	4.28
30	26	190	94	4.24
31	29	197	98	4.19
32	32	203	102	4.15
33	34	209	106	4.11
34	37	215	110	4.06
35	39	221	114	4.02
36	42	227	118	3.98
37	44	232	122	3.94
38	47	238	126	3.9
39	49	243	130	3.86
40	52	248	134	3.83
41	54	253	138	3.79
42	57	259	142	3.76
43	59	264	145	3.72
44	62	269	149	3.69
45	65	273	153	3.65
46	67	277	157	3.62
47	70	282	160	3.59
48	73	286	164	3.56
49	75	290	167	3.53
50	78	294	171	3.5
51	80	298	174	3.47
52	83	301	178	3.44
53	85	305	181	3.42
54	88	308	185	3.39
55	90	312	188	3.37
56	93	316	191	3.34
57	95	319	195	3.32
58	98	322	198	3.3
59	101	325	201	3.28
60	103	328	205	3.26
61	106	332	208	3.24
62	108	336	211	3.22
63	111	339	214	3.2
64	114	343	218	3.18
65	116	346	221	3.16
66	119	349	224	3.15
67	121	352	227	3.13
68	124	355	230	3.12
69	127	357	233	3.11
70	130	361	236	3.09
71	133	363	240	3.08
72	136	365	243	3.07
73	139	367	246	3.06
74	142	370	249	3.05
75	145	372	252	3.04
76	147	374	255	3.04
77	150	377	258	3.03
78	153	380	261	3.02
79	156	383	264	3.02
80	159	385	267	3.02
81	162	388	270	3.01
82	165	390	273	3.01
83	168	393	276	3.01
84	171	395	279	3.01
85	174	397	282	3.01
86	177	399	285	3.01
87	180	401	288	3.01
88	183	404	291	3.01
89	186	406	294	3.02
90	189	409	297	3.02
91	192	411	300	3.02
92	195	414	303	3.03
93	198	415	306	3.04
94	201	416	309	3.04
95	203	418	312	3.05
96	206	421	315	3.06
97	209	424	318	3.07
98	212	427	321	3.08
99	215	430	325	3.09
100	218	433	328	3.11
101	221	436	331	3.12
102	224	438	334	3.13
103	227	440	337	3.15
104	231	442	340	3.16
105	234	444	343	3.18
106	237	445	346	3.2
107	240	447	350	3.22
108	243	449	353	3.24
109	246	452	356	3.26
110	249	454	359	3.28
111	253	457	363	3.3
112	256	460	366	3.32
113	260	463	369	3.34
114	263	466	373	3.37
115	267	468	376	3.39
116	270	471	379	3.42
117	274	474	383	3.44
118	278	476	386	3.47
119	281	479	390	3.5
120	285	482	393	3.53
121	289	485	397	3.56
122	292	488	400	3.59
123	296	490	404	3.62
124	299	493	407	3.65
125	303	496	411	3.69
126	308	499	415	3.72
127	312	502	419	3.75
128	316	505	422	3.79
129	320	508	426	3.83
130	324	511	430	3.86
131	328	514	434	3.9
132	332	517	438	3.94
133	336	521	442	3.98
134	341	524	446	4.02
135	345	527	450	4.06
136	349	530	454	4.1
137	353	533	458	4.15
138	357	537	462	4.19
139	362	541	466	4.23
140	367	545	470	4.27
141	371	550	475	4.31
142	376	553	479	4.36
143	380	557	483	4.4
144	385	561	488	4.44
145	389	566	492	4.48
146	394	569	497	4.52
147	398	574	501	4.57
148	402	578	506	4.61
149	407	583	510	4.65
150	411	587	515	4.69
151	416	592	520	4.74
152	421	598	524	4.78
153	426	602	529	4.82
154	430	608	534	4.87
155	435	614	539	4.91
156	439	619	544	4.95
157	444	624	549	5
158	448	630	554	5.04
159	453	636	559	5.08
160	458	640	564	5.13
161	463	646	569	5.17
162	468	652	574	5.21
163	473	658	579	5.26
164	478	664	585	5.3
165	483	670	590	5.35
166	488	675	595	5.39
167	494	682	601	5.44
168	499	688	606	5.48
169	504	694	612	5.52
170	509	701	617	5.57
171	515	707	623	5.61
172	521	714	628	5.66
173	527	720	634	5.7
174	533	726	640	5.75
175	539	732	645	5.79
176	544	739	651	5.84
177	550	746	657	5.88
178	556	752	663	5.93
179	563	759	669	5.97
180	569	766	675	6.02
181	575	774	681	6.07
182	581	781	687	6.11
183	587	788	693	6.16
184	594	794	699	6.2
185	600	801	705	6.25
186	607	809	712	6.29
187	613	816	718	6.34
188	620	824	724	6.39
189	627	831	731	6.43
190	633	838	737	6.48
191	640	845	744	6.53
192	647	853	750	6.57
193	654	861	757	6.62
194	661	868	763	6.67
195	668	876	770	6.71
196	675	883	777	6.76
197	682	890	783	6.81
198	689	897	790	6.85
199	697	905	797	6.9
200	704	912	804	6.95
201	712	920	811	7
202	719	927	818	7.04
203	727	934	825	7.09
204	734	942	832	7.14
205	742	949	839	7.19
206	749	957	846	7.23
207	757	964	854	7.28
208	765	972	861	7.33
209	773	980	868	7.38
210	780	987	876	7.43
211	788	995	883	7.47
212	795	1003	891	7.52
213	803	1012	898	7.57
214	812	1020	906	7.62
215	820	1029	913	7.67
216	828	1037	921	7.72
217	836	1045	929	7.77
218	845	1053	936	7.81
219	853	1060	944	7.86
220	861	1068	952	0.26
251	869	1076	960	7.96
252	878	1084	968	8.01
253	887	1092	976	8.06
254	896	1100	984	8.11
255	904	1109	992	8.16
256	913	1117	1000	8.21
257	922	1126	1008	8.26
258	930	1135	1017	8.31
259	939	1144	1025	8.36
260	948	1152	1033	8.41
261	958	1160	1042	8.46
262	967	1168	1050	8.51
263	976	1175	1059	8.56
264	985	1185	1067	8.61
265	994	1194	1076	8.66
266	1003	1202	1085	8.71
267	1012	1210	1093	8.76
268	1021	1219	1102	8.81
269	1031	1228	1111	8.86
270	1041	1237	1120	8.91
271	1050	1246	1129	8.97
272	1060	1255	1138	9.02
273	1070	1265	1147	9.07
274	1079	1274	1156	9.12
275	1089	1283	1165	9.17
276	1099	1293	1174	9.22
277	1109	1302	1183	9.27
278	1118	1311	1193	9.32
279	1128	1321	1202	9.38
280	1139	1330	1211	9.43
281	1149	1339	1221	9.48
282	1159	1348	1230	9.53
283	1170	1358	1240	9.58
284	1180	1367	1249	9.64
285	1190	1376	1259	9.69
286	1201	1386	1269	9.74
287	1211	1396	1278	9.79
288	1222	1406	1288	9.85
289	1232	1416	1298	9.9
290	1243	1426	1308	9.95
291	1254	1435	1318	10
292	1265	1443	1328	10.06
293	1275	1452	1338	10.11
294	1285	1462	1348	10.16
295	1296	1471	1358	10.22
296	1308	1480	1368	10.27
297	1319	1489	1379	10.32
298	1329	1499	1389	10.38
299	1340	1510	1399	10.43
300	1351	1520	1410	10.48
301	1361	1531	1420	10.53
302	1373	1542	1431	10.58
303	1383	1552	1441	10.63
304	1394	1562	1452	10.68
305	1405	1573	1463	10.73
306	1416	1584	1473	10.78
307	1427	1595	1484	10.82
308	1438	1606	1495	10.87
309	1449	1616	1506	10.91
310	1459	1627	1517	10.96
311	1470	1638	1528	11
312	1480	1648	1539	11.04
313	1490	1659	1550	11.08
314	1501	1670	1561	11.12
315	1510	1681	1572	11.16
316	1521	1691	1583	11.2
317	1531	1701	1594	11.24
318	1541	1711	1606	11.28
319	1552	1721	1617	11.32
320	1562	1733	1628	11.35
321	1573	1743	1640	11.39
322	1584	1753	1651	11.42
323	1594	1763	1662	11.45
324	1604	1774	1674	11.49
325	1615	1786	1685	11.52
326	1624	1798	1697	11.55
327	1635	1809	1708	11.58
328	1646	1821	1720	11.61
329	1656	1833	1732	11.64
330	1665	1845	1743	11.67
331	1675	1856	1755	11.69
332	1684	1868	1767	11.72
333	1695	1880	1778	11.74
334	1704	1892	1790	11.77
335	1714	1904	1802	11.79
336	1724	1915	1814	11.82
337	1734	1926	1825	11.84
338	1743	1936	1837	11.86
339	1753	1947	1849	11.88
340	1763	1958	1861	11.9
341	1772	1969	1873	11.92
342	1782	1981	1885	11.94
343	1791	1992	1897	11.96
344	1801	2004	1909	11.97
345	1812	2016	1921	11.99
346	1822	2028	1933	12
347	1832	2041	1945	12.02
348	1842	2053	1957	12.03
349	1851	2067	1969	12.04
350	1860	2080	1981	12.06
351	1870	2093	1993	12.07
352	1880	2106	2005	12.08
353	1889	2120	2017	12.09
354	1899	2134	2029	12.1
355	1909	2146	2041	12.1
356	1919	2160	2053	12.11
357	1929	2174	2065	12.12
358	1939	2187	2077	12.12
359	1948	2200	2090	12.13
360	1958	2213	2102	12.13
361	1968	2227	2114	12.13
362	1978	2242	2126	12.14
363	1988	2256	2138	12.14
364	1996	2270	2150	12.14
365	2005	2284	2162	12.14
366	2014	2296	2175	12.14
367	2023	2311	2187	12.14
368	2033	2324	2199	12.14
369	2043	2338	2211	12.14
370	2052	2353	2223	12.14
371	2061	2368	2235	12.14
372	2070	2382	2247	12.14
373	2079	2397	2259	12.14
374	2088	2411	2272	12.14
375	2097	2426	2284	12.14
376	2107	2440	2296	12.14
377	2116	2454	2308	12.14
378	2126	2469	2320	12.14
379	2135	2483	2332	12.14
380	2145	2497	2344	12.14
381	2155	2512	2357	12.14
382	2164	2527	2369	12.14
383	2174	2541	2381	12.14
384	2184	2556	2393	12.14
385	2193	2571	2405	12.14
386	2203	2585	2417	12.14
387	2212	2600	2429	12.14
388	2222	2615	2442	12.14
389	2231	2629	2454	12.14
390	2241	2643	2466	12.14
391	2250	2658	2478	12.14
392	2259	2672	2490	12.14
393	2267	2687	2502	12.14
394	2276	2701	2514	12.14
395	2284	2715	2527	12.14
396	2293	2730	2539	12.14
397	2301	2745	2551	12.14
398	2311	2759	2563	12.14
